id,nome científico,family,fbLink,category,criteria,assessmentYear,reassessment
280,Andreadoxa flava Kallunki,Rutaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB280,CR,"B1ab(iii,v)+2ab(iii,v);D",2012,false
315,Angostura quinquefolia Kallunki,Rutaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB315,VU,D2,2019,false
440,Conchocarpus adenantherus (Rizzini) Kallunki & Pirani,Rutaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB440,EN,"B2ab(ii,iii)",2019,false
441,Conchocarpus bellus Kallunki,Rutaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB441,CR,B2ab(iii),2012,false
442,Conchocarpus cauliflorus Pirani,Rutaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB442,CR,"B2ab(ii,iii)",2012,false
454,Conchocarpus furcatus Kallunki,Rutaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB454,CR,"B1ab(i,ii,iii)+2ab(i,ii,iii)",2019,false
458,Conchocarpus grandiflorus (Engl.) Kallunki & Pirani,Rutaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB458,EN,"B1ab(i,iii)",2017,false
459,Conchocarpus grandis Kallunki,Rutaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB459,VU,"B2ab(ii,iii)",2023,false
468,Conchocarpus macrocarpus (Engl.) Kallunki & Pirani,Rutaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB468,EN,"B2ab(ii,iii)",2019,false
470,Conchocarpus marginatus (Rizzini) Kallunki & Pirani,Rutaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB470,CR,"B1ab(ii,iii)",2012,false
